Feature_ID,Mutual_Information,F_score,Feature_Importance,RFE_ranking,Feature_Labels
126,0.0,5.1105764751361615,0.0017396896831448517,11,x1_Microsoft-IIS/7.5,
127,0.0,0.13812878805872172,7.556162215187828e-05,111,x1_Microsoft-IIS/7.5; litigation_essentials.lexisnexis.com  9999,
128,0.007694581404714018,0.13812878805872172,5.8310881708158e-06,80,x1_Microsoft-IIS/8.0,
129,0.0013471069095825072,2.090670222361661,0.0002484536326056879,42,x1_Microsoft-IIS/8.5,
130,0.0,0.13812878805872172,4.2621446187646284e-08,305,x1_My Arse,
131,0.0,0.13812878805872172,1.493893808249017e-06,169,x1_Nginx (OpenBSD),
132,0.009570183155931833,27.202812835627928,0.006831766360178447,1,x1_None,
133,0.008794237350022716,0.2764345508619133,2.046135716827692e-05,195,x1_Oracle-iPlanet-Web-Server/7.0,
134,0.01840880462073291,7.26159457233617,0.0006285972908975803,60,x1_PWS/8.2.0.7,
135,0.001856019692282329,0.2764345508619133,3.7093409296822015e-06,243,x1_Pagely Gateway/1.5.1,
136,0.0,0.2764345508619133,2.6900612466276022e-05,252,x1_Pepyaka/1.11.3,
137,0.00414557980786423,0.4149176287456223,4.394010829625329e-06,168,x1_Pizza/pepperoni,
138,0.0,0.13812878805872172,1.5315955183373794e-05,290,x1_Play,
139,0.0076976442689109525,7.26159457233617,0.00044472446352889216,28,x1_Proxy Pandeiro UOL,
140,0.0058430998931742195,0.13812878805872172,0.0,259,x1_Resin/3.1.8,
141,0.004656998971437565,0.2764345508619133,7.578606519088201e-05,171,x1_Roxen/5.4.98-r2,
142,0.005273545882841235,0.13812878805872172,2.6745883179829403e-06,274,x1_SSWS,
143,0.0052272133803745735,0.13812878805872172,2.9232826359761605e-05,285,x1_Scratch Web Server,
144,0.011034043519512426,6.982893778360928,0.000647633508057724,62,x1_Server,
145,0.00532920908470591,0.2764345508619133,0.0,205,x1_Squeegit/1.2.5 (3_sir),
146,0.0,0.2764345508619133,5.108597011517572e-06,188,x1_Sucuri/Cloudproxy,
147,0.0,0.13812878805872172,2.169484656145795e-06,304,x1_Sun-ONE-Web-Server/6.1,
148,0.0027718793858686475,0.13812878805872172,3.293978430134428e-05,119,x1_Tengine,
149,0.0,0.9706299284280625,0.00018572145844175222,153,x1_Varnish,
150,0.0,0.13812878805872172,0.0,145,x1_Virtuoso/07.20.3217 (Linux) i686-generic-linux-glibc212-64  VDB,
151,0.003650908303424627,0.13812878805872172,0.0,261,x1_XXXXXXXXXXXXXXXXXXXXXX,
152,0.0,0.13812878805872172,0.0,291,x1_Yippee-Ki-Yay,
153,0.0,5.957791592244829,0.0007804816286738367,82,x1_YouTubeFrontEnd,
154,0.003874453269818501,0.13812878805872172,5.97598447769907e-05,172,x1_Zope/(2.13.16; python 2.6.8; linux2) ZServer/1.1,
155,0.0013925294348213768,0.13812878805872172,7.882818747910029e-06,244,x1_barista/5.1.3,
156,0.0,3.0871188090059563,0.002879532046498722,118,x1_cloudflare-nginx,
157,0.0033896716046128983,0.5535783629191106,1.2237640432547379e-05,134,x1_ebay server,
158,0.0,0.13812878805872172,2.7520724270716857e-05,126,x1_fbs,
159,0.0,0.13812878805872172,0.0,253,x1_gunicorn/19.7.1,
160,0.0,7.26159457233617,0.0008794790436401455,18,x1_lighttpd,
161,0.0,0.13812878805872172,3.25577982539362e-05,214,x1_lighttpd/1.4.28,
162,0.0,7.26159457233617,0.0005056953879526909,34,x1_marrakesh 1.12.2,
163,0.0,0.13812878805872172,4.6550183277811486e-08,287,x1_mw2097.codfw.wmnet,
164,0.0,0.2764345508619133,0.0,263,x1_mw2101.codfw.wmnet,
165,0.0,0.13812878805872172,4.0380857947251176e-05,222,x1_mw2103.codfw.wmnet,
166,0.0,0.13812878805872172,9.775332674574913e-06,296,x1_mw2104.codfw.wmnet,
167,0.0,0.13812878805872172,0.0,271,x1_mw2106.codfw.wmnet,
168,0.0,0.13812878805872172,2.2523410877408063e-07,281,x1_mw2107.codfw.wmnet,
169,0.0,0.13812878805872172,0.0,264,x1_mw2109.codfw.wmnet,
170,0.009523071793207993,0.13812878805872172,0.0,277,x1_mw2110.codfw.wmnet,
171,0.0,0.13812878805872172,1.9408812011981894e-06,269,x1_mw2113.codfw.wmnet,
172,0.005426147920577051,0.13812878805872172,0.0,200,x1_mw2114.codfw.wmnet,
173,0.0,0.2764345508619133,2.0924600577911755e-05,187,x1_mw2164.codfw.wmnet,
174,0.0,0.5535783629191106,1.9865404194308113e-05,181,x1_mw2165.codfw.wmnet,
175,0.0,0.13812878805872172,0.0,224,x1_mw2171.codfw.wmnet,
176,0.0,0.13812878805872172,0.0,283,x1_mw2172.codfw.wmnet,
177,0.0,0.13812878805872172,8.252972753094126e-06,258,x1_mw2173.codfw.wmnet,
178,0.0107039566701288,0.2764345508619133,1.0339661103255031e-05,221,x1_mw2175.codfw.wmnet,
179,0.0,0.13812878805872172,6.156441165190669e-06,276,x1_mw2176.codfw.wmnet,
180,0.0008929017699212949,0.13812878805872172,0.0,295,x1_mw2177.codfw.wmnet,
181,0.0,0.13812878805872172,0.0,225,x1_mw2178.codfw.wmnet,
182,0.012316087525091168,0.13812878805872172,3.5095659699716107e-07,279,x1_mw2180.codfw.wmnet,
183,0.007953250621762553,0.13812878805872172,0.0,220,x1_mw2182.codfw.wmnet,
184,0.003576681363269829,0.13812878805872172,0.0,292,x1_mw2185.codfw.wmnet,
185,0.006862464774178623,0.13812878805872172,0.0,289,x1_mw2187.codfw.wmnet,
186,0.0,0.13812878805872172,1.557938119475268e-05,273,x1_mw2190.codfw.wmnet,
187,0.002889691135141481,0.2764345508619133,8.380550104073423e-07,217,x1_mw2192.codfw.wmnet,
188,0.003768081657910649,0.13812878805872172,9.623024573421429e-06,288,x1_mw2197.codfw.wmnet,
189,0.0,0.13812878805872172,0.0,219,x1_mw2198.codfw.wmnet,
190,0.0,0.13812878805872172,5.604344095418981e-06,218,x1_mw2199.codfw.wmnet,
191,0.004182838719538617,0.2764345508619133,3.2380335134558957e-06,211,x1_mw2224.codfw.wmnet,
192,0.0025909053435013707,0.13812878805872172,0.0,246,x1_mw2225.codfw.wmnet,
193,0.007301421023165666,0.13812878805872172,0.0,223,x1_mw2226.codfw.wmnet,
194,0.010012569088595491,0.4149176287456223,3.497992038617209e-05,146,x1_mw2228.codfw.wmnet,
195,0.007503331396897073,0.2764345508619133,2.212295317383096e-07,231,x1_mw2230.codfw.wmnet,
196,0.0,0.13812878805872172,0.0,210,x1_mw2231.codfw.wmnet,
197,0.0,0.13812878805872172,1.0512072307925949e-05,245,x1_mw2232.codfw.wmnet,
198,0.004402979248973704,0.13812878805872172,2.2122895791288852e-07,270,x1_mw2233.codfw.wmnet,
199,0.0048983050482585,0.13812878805872172,7.077694341805498e-07,302,x1_mw2236.codfw.wmnet,
200,0.0,0.13812878805872172,0.0,275,x1_mw2238.codfw.wmnet,
201,0.0,0.5535783629191106,1.0818237253372866e-06,177,x1_mw2239.codfw.wmnet,
202,0.0017642616662534305,0.13812878805872172,1.342628250940078e-07,241,x1_mw2240.codfw.wmnet,
203,0.006607337557360982,0.13812878805872172,1.0934959309136242e-06,262,x1_mw2241.codfw.wmnet,
204,0.0,0.2764345508619133,3.932680955354302e-05,186,x1_mw2242.codfw.wmnet,
205,0.0,0.2764345508619133,0.0,239,x1_mw2255.codfw.wmnet,
206,0.001360207190664875,0.13812878805872172,0.0,265,x1_mw2257.codfw.wmnet,
207,0.0,0.13812878805872172,0.0,256,x1_mw2260.codfw.wmnet,
208,0.0,27.958131729323007,0.007334803506851801,140,x1_nginx,
209,0.011184903968612492,0.5535783629191106,2.572723888612113e-07,179,x1_nginx + Phusion Passenger,
210,0.0,0.13812878805872172,2.627359689946943e-05,173,x1_nginx/0.7.65,
211,0.0,0.13812878805872172,0.0,234,x1_nginx/0.8.35,
212,0.004936878735469996,0.13812878805872172,2.000396096900194e-06,161,x1_nginx/0.8.38,
213,0.00728296092347569,0.13812878805872172,6.245165236747471e-05,160,x1_nginx/0.8.54,
214,0.0005455942941476888,0.13812878805872172,5.49112872738248e-05,133,x1_nginx/0.8.55,
215,0.003141286547650113,0.6924170954676618,4.448887686819652e-05,84,x1_nginx/1.1.19,
